Trade ID,Date / Time (UTC),Symbol,Direction,Entry Price ($),Exit Price ($),Exit Reason,PnL ($),PnL (%),Outcome,ML Win Prob (%),Confluence Score,Breakeven Saved,Account Balance ($)
TRD-2D27D8CC,2026-08-24T00:17:44.293240,RENDER/USDT,LONG,$1.51,$1.48,STOP_LOSS,$-0.14,-8.95%,LOSS ❌,78.0%,170,NO,-
TRD-0A0C7A72,2026-08-23T18:00:07.745265,ARB/USDT,LONG,$0.10,$0.10,STOP_LOSS,$-0.13,-13.05%,LOSS ❌,77.8%,170,NO,-
TRD-51E5D362,2026-08-24T00:48:16.498790,ADA/USDT,LONG,$0.22,$0.22,STOP_LOSS,$-0.14,-7.20%,LOSS ❌,61.0%,170,NO,-
TRD-2C0ADF45,2026-08-24T00:51:55.828668,FET/USDT,LONG,$0.16,$0.16,STOP_LOSS,$-0.14,-8.87%,LOSS ❌,59.5%,170,NO,-
TRD-FDA37461,2026-08-24T00:15:36.336859,NEAR/USDT,SHORT,$2.04,$1.98,TAKE_PROFIT,+$0.21,+14.22%,WIN ✅,82.7%,170,NO,-
TRD-99A56EC3,2026-08-24T01:08:53.256271,SUI/USDT,LONG,$0.84,$0.82,STOP_LOSS,$-0.14,-12.51%,LOSS ❌,58.9%,170,NO,-
TRD-3C12C59B,2026-08-24T00:27:14.116469,APT/USDT,SHORT,$0.63,$0.61,STOP_LOSS,+$0.15,+10.27%,WIN ✅,56.5%,170,NO,-
TRD-B4E7D9EC,2026-08-24T00:11:46.018910,SEI/USDT,SHORT,$0.05,$0.05,STOP_LOSS,+$0.10,+9.00%,WIN ✅,68.9%,170,NO,-
TRD-FC5D192F,2026-08-24T01:30:43.435766,1000PEPE/USDT,SHORT,$0.00,$0.00,STOP_LOSS,$-0.14,-11.40%,LOSS ❌,57.6%,170,NO,-
TRD-55728DC6,2026-08-24T02:48:35.960024,SOL/USDT,SHORT,$94.13,$96.75,STOP_LOSS,$-0.16,-13.92%,LOSS ❌,56.7%,170,NO,-
TRD-B417708E,2026-08-24T04:18:56.395307,OP/USDT,SHORT,$0.11,$0.11,STOP_LOSS,$-0.21,-20.45%,LOSS ❌,55.6%,170,NO,-
TRD-FA0AF511,2026-08-24T04:34:08.026598,SOL/USDT,SHORT,$94.15,$96.75,STOP_LOSS,$-0.16,-13.81%,LOSS ❌,51.2%,170,NO,-
TRD-F19EA050,2026-08-24T04:24:40.287420,RENDER/USDT,SHORT,$1.49,$1.55,STOP_LOSS,$-0.22,-21.51%,LOSS ❌,57.5%,170,NO,-
TRD-5E3A60EF,2026-08-24T06:46:00.129934,RENDER/USDT,LONG,$1.47,$1.51,TAKE_PROFIT,+$0.21,+13.49%,WIN ✅,66.3%,170,NO,-
TRD-254E89E9,2026-08-24T06:32:23.123559,APT/USDT,SHORT,$0.62,$0.64,STOP_LOSS,$-0.14,-13.78%,LOSS ❌,60.3%,170,NO,-
TRD-60616C28,2026-08-24T06:52:25.175691,SEI/USDT,LONG,$0.05,$0.05,TAKE_PROFIT,+$0.20,+13.37%,WIN ✅,61.3%,170,NO,-
TRD-890538A3,2026-08-24T02:48:39.238235,XRP/USDT,SHORT,$1.48,$1.50,STOP_LOSS,$-0.08,-7.67%,LOSS ❌,51.3%,170,NO,-
TRD-B0181D77,2026-08-24T03:32:09.247216,ARB/USDT,LONG,$0.10,$0.10,TAKE_PROFIT,+$0.14,+13.56%,WIN ✅,58.6%,170,NO,-
TRD-DCD61011,2026-08-24T06:15:20.629378,OP/USDT,SHORT,$0.11,$0.11,STOP_LOSS,$-0.14,-12.35%,LOSS ❌,55.9%,170,NO,-
