Trade ID,Date / Time (UTC),Symbol,Direction,Entry Price ($),Exit Price ($),Exit Reason,PnL ($),PnL (%),Outcome,ML Win Prob (%),Confluence Score,Breakeven Saved,Account Balance ($)
TRD-139DDFE2,2026-08-24T03:41:56.643283,DOGE/USDT,SHORT,$0.09,$0.10,STOP_LOSS,$-0.20,-19.84%,LOSS ❌,57.4%,170,NO,-
TRD-31615DB2,2026-08-24T06:53:27.066983,SEI/USDT,LONG,$0.05,$0.05,TAKE_PROFIT,+$0.20,+13.15%,WIN ✅,64.3%,170,NO,-
TRD-1AFF1875,2026-08-24T04:11:28.913087,INJ/USDT,LONG,$5.26,$5.41,TAKE_PROFIT,+$0.15,+13.89%,WIN ✅,64.5%,170,NO,-
TRD-D96E8E81,2026-08-24T07:56:54.430233,ETH/USDT,LONG,"$2,454.00","$2,518.60",TAKE_PROFIT,+$0.58,+13.16%,WIN ✅,53.0%,170,NO,-
TRD-F5864EA3,2026-08-24T07:38:51.878628,RENDER/USDT,SHORT,$1.47,$1.50,STOP_LOSS,$-0.14,-12.23%,LOSS ❌,56.6%,170,NO,-
TRD-A52F7DB0,2026-08-24T02:48:33.682263,BNB/USDT,SHORT,$699.34,$681.39,TAKE_PROFIT,+$0.18,+12.84%,WIN ✅,64.9%,170,NO,-
TRD-B0F71318,2026-08-24T08:22:55.586901,BNB/USDT,SHORT,$695.95,$672.91,TAKE_PROFIT,+$0.23,+16.55%,WIN ✅,59.4%,170,NO,-
TRD-D3214E5C,2026-08-24T04:15:10.410904,SUI/USDT,SHORT,$0.83,$0.81,STOP_LOSS,+$0.08,+7.60%,WIN ✅,62.8%,170,NO,-
TRD-5316F070,2026-08-24T08:47:28.563577,BNB/USDT,LONG,$581.53,$606.44,TAKE_PROFIT,+$0.25,+21.42%,WIN ✅,80.2%,170,NO,-
TRD-377C2A27,2026-08-24T08:43:53.074634,DOGE/USDT,LONG,$0.09,$0.09,TAKE_PROFIT,+$0.21,+13.23%,WIN ✅,61.3%,170,NO,-
TRD-43001FC9,2026-08-24T08:50:36.011549,BNB/USDT,LONG,$695.99,$689.03,STOP_LOSS,$-0.14,-5.00%,LOSS ❌,60.3%,170,NO,-
TRD-A49FE8D7,2026-08-24T06:32:12.516672,SOL/USDT,SHORT,$94.18,$96.75,STOP_LOSS,$-0.15,-13.65%,LOSS ❌,59.7%,170,NO,-
TRD-C0A357E5,2026-08-24T07:35:03.842328,XRP/USDT,SHORT,$1.49,$1.47,STOP_LOSS,+$0.08,+5.25%,WIN ✅,57.8%,170,NO,-
TRD-CC792E52,2026-08-24T09:02:30.545609,BNB/USDT,LONG,$696.87,$689.76,STOP_LOSS,$-0.07,-5.10%,LOSS ❌,57.1%,170,NO,-
TRD-8C8ED918,2026-08-24T09:17:51.152656,BNB/USDT,LONG,$581.53,$606.44,TAKE_PROFIT,+$0.25,+21.42%,WIN ✅,79.6%,170,NO,-
TRD-DFB86BD0,2026-08-24T09:17:34.145896,BTC/USDT,LONG,"$63,439.16","$66,156.14",TAKE_PROFIT,+$2.72,+21.41%,WIN ✅,81.0%,170,NO,-
TRD-36490840,2026-08-24T09:22:50.070775,BNB/USDT,LONG,$581.53,$606.44,TAKE_PROFIT,+$0.25,+21.42%,WIN ✅,80.9%,170,NO,-
TRD-7E8358AD,2026-08-24T08:21:07.258882,INJ/USDT,LONG,$5.32,$5.56,TAKE_PROFIT,+$0.24,+22.62%,WIN ✅,63.3%,170,NO,-
TRD-8341BDDE,2026-08-24T09:28:25.787722,INJ/USDT,LONG,$5.39,$5.75,TAKE_PROFIT,+$0.35,+32.60%,WIN ✅,71.2%,170,NO,-
TRD-0968C7DD,2026-08-24T09:26:33.476323,BNB/USDT,LONG,$581.53,$606.44,TAKE_PROFIT,+$0.25,+21.42%,WIN ✅,86.2%,170,NO,-
TRD-124FE4F4,2026-08-24T08:52:29.525928,OP/USDT,SHORT,$0.11,$0.11,STOP_LOSS,$-0.16,-15.66%,LOSS ❌,55.2%,170,NO,-
TRD-F7944F1A,2026-08-24T04:30:15.141417,FET/USDT,LONG,$0.16,$0.17,TAKE_PROFIT,+$0.27,+26.08%,WIN ✅,60.5%,170,NO,-
TRD-65960353,2026-08-24T09:30:40.689700,BTC/USDT,LONG,"$63,439.16","$66,156.14",TAKE_PROFIT,+$2.72,+21.41%,WIN ✅,89.0%,170,NO,-
TRD-07E5F848,2026-08-24T06:32:16.053731,ADA/USDT,SHORT,$0.22,$0.23,STOP_LOSS,$-0.17,-16.42%,LOSS ❌,54.2%,170,NO,-
TRD-5A583F73,2026-08-24T09:34:43.693867,INJ/USDT,LONG,$5.38,$5.71,TAKE_PROFIT,+$0.33,+30.68%,WIN ✅,76.6%,170,NO,-
TRD-4008FAEF,2026-08-24T07:55:18.305018,AVAX/USDT,SHORT,$7.47,$7.72,STOP_LOSS,$-0.25,-16.70%,LOSS ❌,53.1%,170,NO,-
TRD-F6B10806,2026-08-24T09:39:42.588271,ADA/USDT,SHORT,$0.22,$0.22,STOP_LOSS,$-0.14,-7.73%,LOSS ❌,51.8%,170,NO,-
TRD-A52D3E8A,2026-08-24T09:34:11.827897,XRP/USDT,SHORT,$1.48,$1.51,STOP_LOSS,$-0.14,-10.44%,LOSS ❌,54.5%,170,NO,-
TRD-1CAA273B,2026-08-24T09:17:36.530212,ETH/USDT,SHORT,"$2,459.88","$2,497.08",STOP_LOSS,$-0.33,-7.56%,LOSS ❌,52.2%,170,NO,-
TRD-0491D807,2026-08-24T13:04:26.887071,AVAX/USDT,SHORT,$7.46,$7.58,STOP_LOSS,$-0.11,-7.50%,LOSS ❌,65.0%,170,NO,-
TRD-0491D805,2026-08-24T13:04:26.885955,XRP/USDT,SHORT,$1.48,$1.50,STOP_LOSS,$-0.10,-7.50%,LOSS ❌,65.0%,170,NO,-
TRD-A9B0622D,2026-08-24T13:01:49.628073,ADA/USDT,SHORT,$0.23,$0.23,STOP_LOSS,$-0.14,-8.89%,LOSS ❌,52.9%,170,NO,-
TRD-D191DF29,2026-08-24T13:09:33.365674,NEAR/USDT,LONG,$2.01,$2.15,TAKE_PROFIT,+$0.42,+34.94%,WIN ✅,76.4%,170,NO,-
TRD-51B3DF8D,2026-08-24T13:09:25.656615,ADA/USDT,SHORT,$0.23,$0.23,STOP_LOSS,$-0.13,-7.99%,LOSS ❌,54.1%,170,NO,-
TRD-1670E4A1,2026-08-24T13:09:16.179479,BNB/USDT,LONG,$706.28,$692.97,STOP_LOSS,$-0.13,-9.42%,LOSS ❌,57.3%,170,NO,-
TRD-2BF06930,2026-08-24T13:01:01.882626,ETH/USDT,SHORT,"$2,509.61","$2,534.85",STOP_LOSS,$-0.20,-5.03%,LOSS ❌,64.1%,170,NO,-
TRD-4008D9A7,2026-08-24T09:34:38.911294,RENDER/USDT,SHORT,$1.48,$1.51,STOP_LOSS,$-0.14,-9.00%,LOSS ❌,60.1%,170,NO,-
TRD-D6B333FB,2026-08-24T09:34:25.306396,DOGE/USDT,SHORT,$0.09,$0.09,STOP_LOSS,$-0.14,-11.87%,LOSS ❌,56.3%,170,NO,-
TRD-44DB8BF4,2026-08-24T09:04:36.370310,SOL/USDT,SHORT,$94.23,$96.75,STOP_LOSS,$-0.15,-13.38%,LOSS ❌,55.0%,170,NO,-
